"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-02-01 04:01:25","""1739653""","""139.59.135.147:4444""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/139.59.135.147""","""AS14061","C2"
"2026-02-01 04:01:03","""1739652""","""91.215.85.39:443""","""ip:port""","""botnet_cc""","""win.poshc2""","""None""","""PoshC2""","""""","""100""","""False""","""https://search.censys.io/hosts/91.215.85.39""","""AS200593","C2"
"2026-02-01 04:01:00","""1739651""","""102.98.89.14:443""","""ip:port""","""botnet_cc""","""win.netsupportmanager_rat""","""NetSupport""","""NetSupportManager RAT""","""""","""100""","""False""","""https://search.censys.io/hosts/102.98.89.14""","""AS36925","ASMedi"
"2026-02-01 04:00:57","""1739650""","""143.198.215.97:8080""","""ip:port""","""botnet_cc""","""win.havoc""","""Havokiz""","""Havoc""","""""","""100""","""False""","""https://search.censys.io/hosts/143.198.215.97""","""AS14061","C2"
"2026-02-01 04:00:43","""1739648""","""158.94.208.135:1000""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""""","""100""","""False""","""https://search.censys.io/hosts/158.94.208.135""","""AS214943","AsyncRAT"
"2026-02-01 04:00:41","""1739647""","""102.204.223.168:8888""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/102.204.223.168""","""ABCCLOUDSDNBHD-AS-AP","AS139923"
"2026-02-01 04:00:11","""1739646""","""82.146.49.236:9540""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""""","""100""","""False"""
"2026-02-01 02:25:07","""1739447""","""91.92.120.109:62026""","""ip:port""","""botnet_cc""","""win.purelogs""","""None""","""PureLogs Stealer""","""""","""100""","""False""","""None""","""PureLogsStealer""","""0"""
"2026-02-01 00:02:58","""1739442""","""185.125.91.3:80""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/185.125.91.3""","""AS202958","C2"
"2026-02-01 00:02:58","""1739443""","""185.125.91.3:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/185.125.91.3""","""AS202958","C2"
"2026-02-01 00:02:44","""1739440""","""13.135.251.41:10259""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/13.135.251.41""","""AMAZON-02","AS16509"
"2026-02-01 00:02:36","""1739439""","""161.97.182.121:80""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/161.97.182.121""","""AS51167","C2"
"2026-02-01 00:00:55","""1739437""","""181.214.100.216:80""","""ip:port""","""botnet_cc""","""win.sliver""","""None""","""Sliver""","""""","""100""","""False""","""https://search.censys.io/hosts/181.214.100.216""","""AS21859","C2"
"2026-01-31 23:00:16","""1739436""","""155.94.163.103:8080""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 00:01:06""","""100""","""False""","""https://search.censys.io/hosts/155.94.163.103""","""AS27176","C2"
"2026-01-31 22:55:05","""1739435""","""193.161.193.99:38238""","""ip:port""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""""","""100""","""False""","""None"""
"2026-01-31 21:28:08","""1739432""","""13.51.36.30:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/13.51.36.30""","""AS16509","censys"
"2026-01-31 21:28:07","""1739431""","""172.178.81.164:3333""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/172.178.81.164""","""AS8075","censys"
"2026-01-31 21:28:06","""1739430""","""178.128.101.226:3333""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/178.128.101.226""","""AS14061","censys"
"2026-01-31 21:28:05","""1739429""","""95.216.222.174:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/95.216.222.174""","""AS24940","censys"
"2026-01-31 21:27:48","""1739428""","""124.77.220.119:8082""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-02-01 00:01:22""","""100""","""False""","""https://search.censys.io/hosts/124.77.220.119""","""AS4812","C2"
"2026-01-31 21:27:28","""1739427""","""13.250.222.197:8090""","""ip:port""","""botnet_cc""","""win.sliver""","""None""","""Sliver""","""2026-02-01 00:00:50""","""90""","""False""","""https://search.censys.io/hosts/13.250.222.197""","""AS16509","C2"
"2026-01-31 20:01:35","""1739424""","""18.217.34.53:80""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/18.217.34.53""","""AMAZON-02","AS16509"
"2026-01-31 20:01:28","""1739423""","""43.208.238.110:22522""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/43.208.238.110""","""AMAZON-02","AS16509"
"2026-01-31 20:00:58","""1739422""","""38.224.133.119:443""","""ip:port""","""botnet_cc""","""win.havoc""","""Havokiz""","""Havoc""","""2026-01-31 21:27:41""","""100""","""False""","""https://search.censys.io/hosts/38.224.133.119""","""AS38001","C2"
"2026-01-31 20:00:55","""1739421""","""138.124.53.33:80""","""ip:port""","""botnet_cc""","""apk.hook""","""None""","""Hook""","""2026-01-31 21:27:37""","""100""","""False""","""https://search.censys.io/hosts/138.124.53.33""","""AEZA-AS","AS210644"
"2026-01-31 20:00:53","""1739420""","""217.60.7.192:7443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-01-31 21:27:36""","""100""","""False""","""https://search.censys.io/hosts/217.60.7.192""","""AS56971","C2"
"2026-01-31 20:00:45","""1739419""","""47.245.85.155:8888""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-01-31 21:27:31""","""100""","""False""","""https://search.censys.io/hosts/47.245.85.155""","""ALIBABA-CN-NET","AS45102"
"2026-01-31 20:00:35","""1739418""","""44.200.237.10:443""","""ip:port""","""botnet_cc""","""win.sliver""","""None""","""Sliver""","""2026-01-31 21:27:28""","""100""","""False""","""https://search.censys.io/hosts/44.200.237.10""","""AMAZON-AES","AS14618"
"2026-01-31 20:00:10","""1739417""","""1.12.66.17:80""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""2026-02-01 03:48:38""","""100""","""False"""
"2026-01-31 19:37:13","""1739395""","""162.120.187.244:3000""","""ip:port""","""botnet_cc""","""win.xworm""","""None""","""XWorm""","""""","""100""","""False""","""https://tria.ge/260131-w168lafs8d""","""AS15169","C2"
"2026-01-31 19:37:13","""1739396""","""185.184.192.251:3000""","""ip:port""","""botnet_cc""","""win.xworm""","""None""","""XWorm""","""""","""100""","""False""","""https://tria.ge/260131-w168lafs8d""","""AS49981","C2"
"2026-01-31 18:47:56","""1739393""","""52.23.88.208:443""","""ip:port""","""botnet_cc""","""win.deimos_c2""","""None""","""DeimosC2""","""2026-02-01 03:47:33""","""75""","""False""","""None""","""Deimos","drb-ra"""
"2026-01-31 18:46:50","""1739392""","""212.64.199.181:8808""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:46:33""","""75""","""False""","""None""","""AsyncRAT","drb-ra"
"2026-01-31 18:46:19","""1739391""","""193.22.152.157:825""","""ip:port""","""botnet_cc""","""win.deimos_c2""","""None""","""DeimosC2""","""2026-02-01 03:46:04""","""75""","""False""","""None""","""Deimos","drb-ra"""
"2026-01-31 18:43:46","""1739390""","""134.199.134.66:7443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-02-01 03:43:43""","""75""","""False""","""None""","""drb-ra","Mythic"""
"2026-01-31 16:01:19","""1739379""","""13.62.56.163:18244""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/13.62.56.163""","""AMAZON-02","AS16509"
"2026-01-31 16:01:19","""1739380""","""54.179.215.123:58123""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/54.179.215.123""","""AMAZON-02","AS16509"
"2026-01-31 16:00:49","""1739377""","""194.59.30.79:9619""","""ip:port""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""2026-01-31 21:27:40""","""100""","""False""","""https://search.censys.io/hosts/194.59.30.79"""
"2026-01-31 16:00:46","""1739376""","""104.248.177.238:8081""","""ip:port""","""botnet_cc""","""apk.hook""","""None""","""Hook""","""2026-01-31 21:27:37""","""100""","""False""","""https://search.censys.io/hosts/104.248.177.238""","""AS14061","C2"
"2026-01-31 16:00:40","""1739375""","""91.92.242.161:8808""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:48:12""","""100""","""False""","""https://search.censys.io/hosts/91.92.242.161""","""AS202412","AsyncRAT"
"2026-01-31 16:00:38","""1739374""","""89.223.95.97:8888""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-01-31 21:27:30""","""100""","""False""","""https://search.censys.io/hosts/89.223.95.97""","""AS202422","C2"
"2026-01-31 15:09:52","""1739370""","""89.223.95.104:8888""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""None""","""AS202422","G-Core Labs S.A."
"2026-01-31 12:49:53","""1739365""","""142.171.198.177:8443""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""2026-02-01 03:49:05""","""75""","""False""","""None""","""drb-ra","Metasploit"
